Metagenomics Sample Number	Sequence file names_R1	Sequence file names_R2	Diet Name	Diet Order Group Number	Diet Order Names	Time Point	Phase Day & Time	Animal Name - Tattoo 2	Animal Name	Animal Tattoo	Gender	age (yr)	BW	Location	Breed	Mean(ACT~Body Weight~WEIGH~kg)	Median(ACT~Body Weight~WEIGH~kg)	Min(ACT~Body Weight~WEIGH~kg)	Max(ACT~Body Weight~WEIGH~kg)	Range(ACT~Body Weight~WEIGH~kg)	Std Dev(ACT~Body Weight~WEIGH~kg)	Std Err(ACT~Body Weight~WEIGH~kg)	Ash_Diet	Phosphorus_Diet	Fiber Soluble_Diet	Fiber Total Dietary_Diet	Protein Crude_Diet	Starch_Diet	Sugars - Total_Diet	Total Digestible Carbohydrate_Diet	Fat Crude_Diet	Monounsaturated Fatty Acids_Diet	Omega 3 Sum_Diet	Omega 6 Sum_Diet	Polyunsaturated Fatty Acids_Diet	Mean(Feeding_Info~total_intake_gms (per MBW))	Median(Feeding_Info~total_intake_gms (per MBW))	Min(Feeding_Info~total_intake_gms (per MBW))	Max(Feeding_Info~total_intake_gms (per MBW))	Std Dev(Feeding_Info~total_intake_gms (per MBW))	Std Err(Feeding_Info~total_intake_gms (per MBW))	Diet Metabolizable Energy (per kg as fed)	Mean(Feeding_Info~total_intake_kcal (per MBW))	Protein Crude_Dog Intake (per MBW)	Fat Crude_Dog Intake (per MBW)	Total Digestible Carbohydrate_Dog Intake (per MBW)	Fiber Total Dietary_Dog Intake (per MBW)	Ash_Dog Intake (per MBW)	Phosphorus_Dog Intake (per MBW)	Fiber Insoluble_Dog Intake (per MBW)	Fiber Soluble_Dog Intake (per MBW)	Starch_Dog Intake (per MBW)	Sugars - Total_Dog Intake (per MBW)	Monounsaturated Fatty Acids_Dog Intake (per MBW)	Omega 3 Sum_Dog Intake (per MBW)	Omega 6 Sum_Dog Intake (per MBW)	Polyunsaturated Fatty Acids_Dog Intake (per MBW)	True Protein Digestibility	Apparent Fat Digestibility	Apparent Carbohydrate Digestibility	Apparent Fiber Digestibility	Fecal Bypass True Protein (g per MBW)	Fecal Bypass Fat (g per MBW)	Fecal Bypass Carbohydrate (g per MBW)	Fecal Bypass Fiber (g per MBW)
F-50179186-003S	F-50179186-003S_S67_L002_R1_001.fastq.gz	F-50179186-003S_S67_L002_R2_001.fastq.gz	LoCHO_FAT	2	LoCHO_FAT - LoCHO_PROT	T1	T-34-0hr	MAGNETO-1570987	MAGNETO	1570987	Neutered Male	9.312328767	11.3	B6-31-14	Beagle	10.12	10.1	9.8	10.4	0.6	0.238746728	0.106770783	5.66	0.58	1.7	14.2	30.94	4.6	0.97	5.57	32.76	10.32	1.77	4.35	6.22	18.07570267	18.13068842	17.09464908	18.77646286	0.328632022	0.05554895	4168.205	75.34323423	5.592622405	5.921600193	1.006816638	2.566749779	1.023084771	0.104839075	2.259462834	0.307286945	0.831482323	0.175334316	1.865412515	0.319939937	0.786293066	1.124308706	86.1	94.2	53	0.6	0.777374514	0.343452811	0.47320382	2.55134928
F-50179118-003S	F-50179118-003S_S32_L002_R1_001.fastq.gz	F-50179118-003S_S32_L002_R2_001.fastq.gz	HiCHO	2	LoCHO_FAT - LoCHO_PROT	Prefeed	P-27-0hr	MISTLETOE-UUS-1	MISTLETOE	UUS-1	Spayed Female	8.126027397	7.9	B7-54-14	Beagle	7.325	7.3	7.2	7.5	0.3	0.125830574	0.062915287	4.89	0.68	2.1	10.6	23.69	35.5	1.1	36.6	14.63	5.17	0.45	3.61	4.09	23.78021944	22.50630625	21.84135558	34.54680657	3.424445085	0.615048494	3767.895	89.60136993	5.633533985	3.479046104	8.703560315	2.520703261	1.162852731	0.161705492	2.021318653	0.499384608	8.441977901	0.261582414	1.229437345	0.107010987	0.858465922	0.972610975	89.7	89.8	88	2.3	0.580254	0.354862703	1.044427238	2.462727086
F-50179215-003S	F-50179215-003S_S102_L002_R1_001.fastq.gz	F-50179215-003S_S102_L002_R2_001.fastq.gz	LoCHO_PROT	2	LoCHO_FAT - LoCHO_PROT	T2	T-69-0hr	MISTLETOE-UUS-1	MISTLETOE	UUS-1	Spayed Female	8.126027397	7.9	B7-54-14	Beagle	7.24	7.2	7	7.4	0.4	0.167332005	0.074833148	8.55	1.2	0.7	13.6	49.31	6.4	0.74	7.14	15.12	5.59	0.57	3.08	3.67	37.366537	37.32952302	36.4817886	38.22169208	0.341937115	0.058641731	3688.95	137.8432867	18.4254394	5.649820395	2.667970742	5.081849032	3.194838914	0.448398444	4.820283273	0.261565759	2.391458368	0.276512374	2.088789418	0.212989261	1.15088934	1.371351908	94.6	90.4	61	-0.4	0.994973728	0.542382758	1.040508589	5.102176428
F-50179213-003S	F-50179213-003S_S68_L002_R1_001.fastq.gz	F-50179213-003S_S68_L002_R2_001.fastq.gz	LoCHO_FAT	2	LoCHO_FAT - LoCHO_PROT	T1	T-34-0hr	MISTLETOE-UUS-1	MISTLETOE	UUS-1	Spayed Female	8.126027397	7.9	B7-54-14	Beagle	7	7	6.9	7.2	0.3	0.122474487	0.054772256	5.66	0.58	1.7	14.2	30.94	4.6	0.97	5.57	32.76	10.32	1.77	4.35	6.22	23.40105541	21.84259954	18.88333597	28.65649119	3.11532364	0.526585806	4168.205	97.54039618	7.240286545	7.666185754	1.303438787	3.322949869	1.324499736	0.135726121	2.925131927	0.397817942	1.076448549	0.226990238	2.414988919	0.414198681	1.017945911	1.455545647	86.1	94.2	53	0.6	1.00639983	0.444638774	0.61261623	3.30301217
F-50179125-003S	F-50179125-003S_S34_L002_R1_001.fastq.gz	F-50179125-003S_S34_L002_R2_001.fastq.gz	HiCHO	2	LoCHO_FAT - LoCHO_PROT	Prefeed	P-27-0hr	MOXIE-1528760	MOXIE	1528760	Spayed Female	9.484931507	8.6	B5-13-06	Beagle	8.775	8.8	8.7	8.8	0.1	0.05	0.025	4.89	0.68	2.1	10.6	23.69	35.5	1.1	36.6	14.63	5.17	0.45	3.61	4.09	29.7199766	29.80832055	27.98813972	30.40053883	0.548890795	0.098583697	3767.895	111.9817512	7.040662458	4.348032577	10.87751144	3.15031752	1.453306856	0.202095841	2.526198011	0.624119509	10.55059169	0.326919743	1.53652279	0.133739895	1.072891155	1.215547043	89.7	89.8	88	2.3	0.725188233	0.443499323	1.305301373	3.077860217
F-50179064-003S	F-50179064-003S_S103_L002_R1_001.fastq.gz	F-50179064-003S_S103_L002_R2_001.fastq.gz	LoCHO_PROT	2	LoCHO_FAT - LoCHO_PROT	T2	T-69-0hr	MOXIE-1528760	MOXIE	1528760	Spayed Female	9.484931507	8.6	B5-13-06	Beagle	8.72	8.7	8.6	8.8	0.2	0.083666003	0.037416574	8.55	1.2	0.7	13.6	49.31	6.4	0.74	7.14	15.12	5.59	0.57	3.08	3.67	31.99805691	32.03903686	30.93545632	32.96681809	0.584425406	0.10022813	3688.95	118.039232	15.77824186	4.838106205	2.284661263	4.35173574	2.735833866	0.383976683	4.127749342	0.223986398	2.047875642	0.236785621	1.788691381	0.182388924	0.985540153	1.174328689	94.6	90.4	61	-0.4	0.85202506	0.464458196	0.891017893	4.369142683
F-50179062-003S	F-50179062-003S_S69_L002_R1_001.fastq.gz	F-50179062-003S_S69_L002_R2_001.fastq.gz	LoCHO_FAT	2	LoCHO_FAT - LoCHO_PROT	T1	T-34-0hr	MOXIE-1528760	MOXIE	1528760	Spayed Female	9.484931507	8.6	B5-13-06	Beagle	8.62	8.6	8.5	8.8	0.3	0.130384048	0.058309519	5.66	0.58	1.7	14.2	30.94	4.6	0.97	5.57	32.76	10.32	1.77	4.35	6.22	25.47294615	25.48802188	25.05232087	26.08539739	0.218057369	0.036858423	4168.205	106.1764615	7.881329539	8.344937159	1.418843101	3.617158354	1.441768752	0.147743088	3.184118269	0.433040085	1.171755523	0.247087578	2.628808043	0.450871147	1.108073158	1.584417251	86.1	94.2	53	0.6	1.095504806	0.484006355	0.666856257	3.595455404
F-50179116-003S	F-50179116-003S_S35_L002_R1_001.fastq.gz	F-50179116-003S_S35_L002_R2_001.fastq.gz	HiCHO	2	LoCHO_FAT - LoCHO_PROT	Prefeed	P-27-0hr	NATIVITY-LCO-1	NATIVITY	LCO-1	Spayed Female	8.273972603	10.3	B6-32-12	Beagle	10.85	10.85	10.7	11	0.3	0.129099445	0.064549722	4.89	0.68	2.1	10.6	23.69	35.5	1.1	36.6	14.63	5.17	0.45	3.61	4.09	33.85772547	34.41010869	24.33885737	35.9160304	2.436169215	0.437548908	3767.895	127.5723545	8.020895163	4.953385236	12.39192752	3.588918899	1.655642775	0.230232533	2.877906664	0.711012235	12.01949254	0.37243498	1.750444407	0.152359765	1.222263889	1.384780972	89.7	89.8	88	2.3	0.826152202	0.505245294	1.487031302	3.506373764
F-50179235-003S	F-50179235-003S_S104_L002_R1_001.fastq.gz	F-50179235-003S_S104_L002_R2_001.fastq.gz	LoCHO_PROT	2	LoCHO_FAT - LoCHO_PROT	T2	T-69-0hr	NATIVITY-LCO-1	NATIVITY	LCO-1	Spayed Female	8.273972603	10.3	B6-32-12	Beagle	10.56	10.6	10.4	10.6	0.2	0.089442719	0.04	8.55	1.2	0.7	13.6	49.31	6.4	0.74	7.14	15.12	5.59	0.57	3.08	3.67	28.24953663	28.97970764	4.085374208	38.64083105	8.524192525	1.461886958	3688.95	104.2111281	13.92984651	4.271329938	2.017016915	3.841936981	2.415335382	0.33899444	3.644190225	0.197746756	1.807970344	0.209046571	1.579149098	0.161022359	0.870085728	1.036757994	94.6	90.4	61	-0.4	0.752211712	0.410047674	0.786636597	3.857304729
F-50179233-003S	F-50179233-003S_S70_L002_R1_001.fastq.gz	F-50179233-003S_S70_L002_R2_001.fastq.gz	LoCHO_FAT	2	LoCHO_FAT - LoCHO_PROT	T1	T-34-0hr	NATIVITY-LCO-1	NATIVITY	LCO-1	Spayed Female	8.273972603	10.3	B6-32-12	Beagle	10.54	10.6	10.4	10.6	0.2	0.089442719	0.04	5.66	0.58	1.7	14.2	30.94	4.6	0.97	5.57	32.76	10.32	1.77	4.35	6.22	29.89229304	30.00171453	26.07365668	30.76334491	0.77692808	0.131324814	4168.205	124.5972053	9.248675466	9.7927152	1.665000722	4.244705612	1.691903786	0.1733753	3.73653663	0.508168982	1.37504548	0.289955242	3.084884642	0.529093587	1.300314747	1.859300627	86.1	94.2	53	0.6	1.28556589	0.567977482	0.782550339	4.219237378
F-50179106-003S	F-50179106-003S_S36_L002_R1_001.fastq.gz	F-50179106-003S_S36_L002_R2_001.fastq.gz	HiCHO	1	LoCHO_PROT - LoCHO_FAT	Prefeed	P-27-0hr	PERDITA-BYS-1	PERDITA	BYS-1	Spayed Female	8.109589041	11.2	B7-63-10	Beagle	10.15	10.2	9.9	10.3	0.4	0.173205081	0.08660254	4.89	0.68	2.1	10.6	23.69	35.5	1.1	36.6	14.63	5.17	0.45	3.61	4.09	24.22769712	23.3024461	22.03833171	34.55060143	3.344064877	0.600611782	3767.895	91.28741885	5.739541448	3.544512089	8.867337146	2.568135895	1.184734389	0.16474834	2.059354255	0.50878164	8.600832478	0.266504668	1.252571941	0.109024637	0.874619866	0.990912812	89.7	89.8	88	2.3	0.591172769	0.361540233	1.064080458	2.509068769
F-50179237-003S	F-50179237-003S_S71_L002_R1_001.fastq.gz	F-50179237-003S_S71_L002_R2_001.fastq.gz	LoCHO_PROT	1	LoCHO_PROT - LoCHO_FAT	T1	T-34-0hr	PERDITA-BYS-1	PERDITA	BYS-1	Spayed Female	8.109589041	11.2	B7-63-10	Beagle	9.54	9.6	9.3	9.7	0.4	0.151657509	0.0678233	8.55	1.2	0.7	13.6	49.31	6.4	0.74	7.14	15.12	5.59	0.57	3.08	3.67	25.45308555	25.37501123	24.37956755	26.61152654	0.698277449	0.119753595	3688.95	93.89515995	12.55091649	3.848506536	1.817350308	3.461619635	2.176238815	0.305437027	3.283448036	0.178171599	1.628997475	0.188352833	1.422827482	0.145082588	0.783955035	0.93412824	94.6	90.4	61	-0.4	0.67774949	0.369456627	0.70876662	3.475466114
F-50179239-003S	F-50179239-003S_S105_L002_R1_001.fastq.gz	F-50179239-003S_S105_L002_R2_001.fastq.gz	LoCHO_FAT	1	LoCHO_PROT - LoCHO_FAT	T2	T-69-0hr	PERDITA-BYS-1	PERDITA	BYS-1	Spayed Female	8.109589041	11.2	B7-63-10	Beagle	9.3	9.4	8.8	9.6	0.8	0.3	0.134164079	5.66	0.58	1.7	14.2	30.94	4.6	0.97	5.57	32.76	10.32	1.77	4.35	6.22	26.50921157	25.48656904	23.09807541	30.92395858	2.446041377	0.413456455	4168.205	110.4958282	8.201950059	8.684417709	1.476563084	3.764308042	1.500421375	0.153753427	3.313651445	0.450656597	1.219423732	0.257139352	2.735750634	0.469213045	1.153150703	1.648872959	86.1	94.2	53	0.6	1.140071058	0.503696227	0.693984649	3.741722194
F-50179137-003S	F-50179137-003S_S37_L002_R1_001.fastq.gz	F-50179137-003S_S37_L002_R2_001.fastq.gz	HiCHO	2	LoCHO_FAT - LoCHO_PROT	Prefeed	P-27-0hr	PORRIDGE-3266789	PORRIDGE	3266789	Spayed Female	3.079452055	7.5	B7-53-07	Beagle	7.45	7.4	7.4	7.6	0.2	0.1	0.05	4.89	0.68	2.1	10.6	23.69	35.5	1.1	36.6	14.63	5.17	0.45	3.61	4.09	39.08666904	39.00445903	36.18661006	41.90193313	1.167896495	0.209760403	3767.895	147.2744648	9.259631896	5.718379681	14.30572087	4.143186918	1.911338116	0.265789349	3.322366868	0.82082005	13.87576751	0.429953359	2.020780789	0.175890011	1.411028752	1.598644764	89.7	89.8	88	2.3	0.953742085	0.583274727	1.716686504	4.047893619
F-50179255-003S	F-50179255-003S_S106_L002_R1_001.fastq.gz	F-50179255-003S_S106_L002_R2_001.fastq.gz	LoCHO_PROT	2	LoCHO_FAT - LoCHO_PROT	T2	T-69-0hr	PORRIDGE-3266789	PORRIDGE	3266789	Spayed Female	3.079452055	7.5	B7-53-07	Beagle	7.92	7.9	7.6	8.2	0.6	0.216794834	0.096953597	8.55	1.2	0.7	13.6	49.31	6.4	0.74	7.14	15.12	5.59	0.57	3.08	3.67	44.66205973	42.77163939	41.47970587	49.65872205	3.09491199	0.530773027	3688.95	164.7561052	22.02286165	6.752903431	3.188871065	6.074040123	3.818606107	0.535944717	5.761405705	0.312634418	2.858371823	0.330499242	2.496609139	0.25457374	1.37559144	1.639097592	94.6	90.4	61	-0.4	1.189234529	0.648278729	1.243659715	6.098336283
F-50179253-003S	F-50179253-003S_S120_L002_R1_001.fastq.gz	F-50179253-003S_S120_L002_R2_001.fastq.gz	LoCHO_FAT	2	LoCHO_FAT - LoCHO_PROT	T1	T-34-0hr	PORRIDGE-3266789	PORRIDGE	3266789	Spayed Female	3.079452055	7.5	B7-53-07	Beagle	7.5	7.5	7.4	7.6	0.2	0.1	0.04472136	5.66	0.58	1.7	14.2	30.94	4.6	0.97	5.57	32.76	10.32	1.77	4.35	6.22	37.17113193	37.7951357	34.99257182	38.61376073	1.129657751	0.190947011	4168.205	154.936898	11.50074822	12.17726282	2.070432048	5.278300734	2.103886067	0.215592565	4.646391491	0.631909243	1.709872069	0.36055998	3.836060815	0.657929035	1.616944239	2.312044406	86.1	94.2	53	0.6	1.598604003	0.706281244	0.973103063	5.24663093
F-50179127-003S	F-50179127-003S_S38_L002_R1_001.fastq.gz	F-50179127-003S_S38_L002_R2_001.fastq.gz	HiCHO	2	LoCHO_FAT - LoCHO_PROT	Prefeed	P-27-0hr	PORT-088BC	PORT	088BC	Neutered Male	11.18630137	12.3	B5-23-05	Beagle	11.65	11.6	11.6	11.8	0.2	0.1	0.05	4.89	0.68	2.1	10.6	23.69	35.5	1.1	36.6	14.63	5.17	0.45	3.61	4.09	23.06771251	22.90967879	21.3612864	25.90883391	1.020721498	0.183326993	3767.895	86.91671863	5.464741094	3.37480634	8.442782779	2.445177526	1.128011142	0.156860445	1.960755563	0.484421963	8.189037942	0.253744838	1.192600737	0.103804706	0.832744422	0.943469442	89.7	89.8	88	2.3	0.562868333	0.344230247	1.013133933	2.388938443
F-50179068-003S	F-50179068-003S_S107_L002_R1_001.fastq.gz	F-50179068-003S_S107_L002_R2_001.fastq.gz	LoCHO_PROT	2	LoCHO_FAT - LoCHO_PROT	T2	T-69-0hr	PORT-088BC	PORT	088BC	Neutered Male	11.18630137	12.3	B5-23-05	Beagle	11.58	11.7	11.3	11.9	0.6	0.268328157	0.12	8.55	1.2	0.7	13.6	49.31	6.4	0.74	7.14	15.12	5.59	0.57	3.08	3.67	34.24919782	34.42882827	28.40607092	35.68350447	1.231204645	0.211149855	3688.95	126.3435783	16.88827944	5.17847871	2.445392724	4.657890903	2.928306413	0.410990374	4.418146518	0.239744385	2.19194866	0.253444064	1.914530158	0.195220428	1.054875293	1.25694556	94.6	90.4	61	-0.4	0.91196709	0.497133956	0.953703162	4.676522467
F-50179066-003S	F-50179066-003S_S72_L002_R1_001.fastq.gz	F-50179066-003S_S72_L002_R2_001.fastq.gz	LoCHO_FAT	2	LoCHO_FAT - LoCHO_PROT	T1	T-34-0hr	PORT-088BC	PORT	088BC	Neutered Male	11.18630137	12.3	B5-23-05	Beagle	11.3	11.3	11.1	11.5	0.4	0.158113883	0.070710678	5.66	0.58	1.7	14.2	30.94	4.6	0.97	5.57	32.76	10.32	1.77	4.35	6.22	19.22376094	19.25049399	17.89140061	20.22613387	0.604312254	0.102147415	4168.205	80.12857647	5.947831635	6.297704084	1.070763484	2.729774053	1.088064869	0.111497813	2.402970117	0.326803936	0.884293003	0.186470481	1.983892129	0.340260569	0.836233601	1.19571793	86.1	94.2	53	0.6	0.826748597	0.365266837	0.503258837	2.713395409
F-50179075-003S	F-50179075-003S_S39_L002_R1_001.fastq.gz	F-50179075-003S_S39_L002_R2_001.fastq.gz	HiCHO	2	LoCHO_FAT - LoCHO_PROT	Prefeed	P-27-0hr	PRETZEL-3554946	PRETZEL	3554946	Neutered Male	2.065753425	9	B6-43-17	Beagle	9.175	9.15	9.1	9.3	0.2	0.095742711	0.047871355	4.89	0.68	2.1	10.6	23.69	35.5	1.1	36.6	14.63	5.17	0.45	3.61	4.09	32.64895436	32.8282251	17.75014497	43.18825178	6.932821853	1.245171563	3767.895	123.0178319	7.734537287	4.776542022	11.94951729	3.460789162	1.596533868	0.22201289	2.775161121	0.685628041	11.5903788	0.359138498	1.68795094	0.146920295	1.178627252	1.335342233	89.7	89.8	88	2.3	0.796657341	0.487207286	1.433942075	3.381191011
F-50179171-003S	F-50179171-003S_S108_L002_R1_001.fastq.gz	F-50179171-003S_S108_L002_R2_001.fastq.gz	LoCHO_PROT	2	LoCHO_FAT - LoCHO_PROT	T2	T-69-0hr	PRETZEL-3554946	PRETZEL	3554946	Neutered Male	2.065753425	9	B6-43-17	Beagle	9.52	9.5	9.3	9.8	0.5	0.228035085	0.10198039	8.55	1.2	0.7	13.6	49.31	6.4	0.74	7.14	15.12	5.59	0.57	3.08	3.67	22.07940769	22.36950664	0	46.94115715	13.89806994	2.419343437	3688.95	81.44983099	10.88735593	3.338406443	1.576469709	3.002799446	1.887789357	0.264952892	2.848243592	0.154555854	1.413082092	0.163387617	1.23423889	0.125852624	0.680045757	0.810314262	94.6	90.4	61	-0.4	0.58791722	0.320487019	0.614823187	3.014810644
F-50179169-003S	F-50179169-003S_S73_L002_R1_001.fastq.gz	F-50179169-003S_S73_L002_R2_001.fastq.gz	LoCHO_FAT	2	LoCHO_FAT - LoCHO_PROT	T1	T-34-0hr	PRETZEL-3554946	PRETZEL	3554946	Neutered Male	2.065753425	9	B6-43-17	Beagle	9.58	9.6	9.3	9.9	0.6	0.216794834	0.096953597	5.66	0.58	1.7	14.2	30.94	4.6	0.97	5.57	32.76	10.32	1.77	4.35	6.22	34.9470828	35.93789592	21.50081142	37.2213922	3.298829333	0.557603929	4168.205	145.6666053	10.81262742	11.44866433	1.946552512	4.962485758	1.978004887	0.20269308	4.36838535	0.594100408	1.607565809	0.338986703	3.606538945	0.618563366	1.520198102	2.17370855	86.1	94.2	53	0.6	1.502955211	0.664022531	0.914879681	4.932710843
F-50179083-003S	F-50179083-003S_S40_L002_R1_001.fastq.gz	F-50179083-003S_S40_L002_R2_001.fastq.gz	HiCHO	2	LoCHO_FAT - LoCHO_PROT	Prefeed	P-27-0hr	PUB-153AC	PUB	153AC	Spayed Female	4.635616438	12.5	B7-52-09	Beagle	12.15	12.1	12	12.4	0.4	0.173205081	0.08660254	4.89	0.68	2.1	10.6	23.69	35.5	1.1	36.6	14.63	5.17	0.45	3.61	4.09	27.18365945	26.34009091	24.97042803	38.25392214	3.50255216	0.629076939	3767.895	102.4251745	6.439808924	3.976969378	9.949219359	2.881467902	1.329280947	0.184848884	2.310611054	0.570856848	9.650199105	0.299020254	1.405395194	0.122326468	0.981330106	1.111811672	89.7	89.8	88	2.3	0.663300319	0.405650877	1.193906323	2.81519414
F-50179141-003S	F-50179141-003S_S109_L002_R1_001.fastq.gz	F-50179141-003S_S109_L002_R2_001.fastq.gz	LoCHO_PROT	2	LoCHO_FAT - LoCHO_PROT	T2	T-69-0hr	PUB-153AC	PUB	153AC	Spayed Female	4.635616438	12.5	B7-52-09	Beagle	11.48	11.5	11.3	11.7	0.4	0.14832397	0.066332496	8.55	1.2	0.7	13.6	49.31	6.4	0.74	7.14	15.12	5.59	0.57	3.08	3.67	36.78968143	35.33513807	32.50668311	41.63417542	3.023495912	0.518525271	3688.95	135.7152953	18.14099191	5.562599832	2.626783254	5.003396674	3.145517762	0.441476177	4.745868904	0.25752777	2.354539611	0.272243643	2.056543192	0.209701184	1.133122188	1.350181308	94.6	90.4	61	-0.4	0.979613563	0.534009584	1.024445469	5.023410261
F-50179161-003S	F-50179161-003S_S74_L002_R1_001.fastq.gz	F-50179161-003S_S74_L002_R2_001.fastq.gz	LoCHO_FAT	2	LoCHO_FAT - LoCHO_PROT	T1	T-34-0hr	PUB-153AC	PUB	153AC	Spayed Female	4.635616438	12.5	B7-52-09	Beagle	11.48	11.6	11.1	11.7	0.6	0.238746728	0.106770783	5.66	0.58	1.7	14.2	30.94	4.6	0.97	5.57	32.76	10.32	1.77	4.35	6.22	23.92072916	23.07881253	20.16310528	28.28369939	1.621493621	0.274082447	4168.205	99.7065029	7.401073603	7.836430874	1.332384614	3.396743541	1.353913271	0.138740229	2.990091145	0.406652396	1.100353541	0.232031073	2.46861925	0.423396906	1.040551719	1.487869354	86.1	94.2	53	0.6	1.028749231	0.454512991	0.626220769	3.37636308
F-50179091-003S	F-50179091-003S_S41_L002_R1_001.fastq.gz	F-50179091-003S_S41_L002_R2_001.fastq.gz	HiCHO	2	LoCHO_FAT - LoCHO_PROT	Prefeed	P-27-0hr	RC-1535511	RC	1535511	Neutered Male	9.454794521	11.8	B5-21-20	Beagle	11.25	11.3	11	11.4	0.4	0.173205081	0.08660254	4.89	0.68	2.1	10.6	23.69	35.5	1.1	36.6	14.63	5.17	0.45	3.61	4.09	22.60312612	22.55308557	21.92099534	23.5095237	0.462991966	0.083155812	3767.895	85.1662059	5.354680578	3.306837352	8.272744161	2.395931369	1.105292867	0.153701258	1.92126572	0.474665649	8.024109774	0.248634387	1.168581621	0.101714068	0.815972853	0.924467858	89.7	89.8	88	2.3	0.5515321	0.33729741	0.992729299	2.340824948
F-50179207-003S	F-50179207-003S_S110_L002_R1_001.fastq.gz	F-50179207-003S_S110_L002_R2_001.fastq.gz	LoCHO_PROT	2	LoCHO_FAT - LoCHO_PROT	T2	T-69-0hr	RC-1535511	RC	1535511	Neutered Male	9.454794521	11.8	B5-21-20	Beagle	11.18	11.2	11	11.5	0.5	0.204939015	0.091651514	8.55	1.2	0.7	13.6	49.31	6.4	0.74	7.14	15.12	5.59	0.57	3.08	3.67	30.90047926	30.95972487	24.98050525	34.21500899	1.788622348	0.306746202	3688.95	113.990323	15.23702632	4.672152464	2.206294219	4.202465179	2.641990977	0.370805751	3.986161824	0.216303355	1.977630673	0.228663547	1.727336791	0.176132732	0.951734761	1.134047589	94.6	90.4	61	-0.4	0.822799421	0.448526637	0.860454745	4.21927504
